Date,Open,High,Low,Close,Adj Close,Volume
2022-02-11,4.720000,4.990000,4.500000,4.600000,4.600000,395100
2022-02-14,4.600000,4.600000,4.210000,4.350000,4.350000,611100
2022-02-15,4.320000,4.500000,4.260000,4.420000,4.420000,261900
2022-02-16,4.900000,5.250000,4.850000,4.850000,4.850000,1183000
2022-02-17,4.970000,4.970000,4.520000,4.650000,4.650000,305100
2022-02-18,4.700000,4.750000,4.360000,4.430000,4.430000,409300
2022-02-22,4.500000,4.900000,4.250000,4.670000,4.670000,637200
2022-02-23,4.600000,4.790000,4.510000,4.710000,4.710000,217000
2022-02-24,4.450000,4.800000,4.200000,4.740000,4.740000,681700
2022-02-25,4.760000,4.880000,4.450000,4.820000,4.820000,529300
2022-02-28,4.880000,5.140000,4.760000,4.950000,4.950000,457000
2022-03-01,5.120000,5.700000,5.120000,5.440000,5.440000,905800
2022-03-02,5.430000,5.600000,5.360000,5.530000,5.530000,512100
2022-03-03,5.550000,5.820000,5.080000,5.250000,5.250000,660400
2022-03-04,5.400000,5.400000,4.830000,4.980000,4.980000,628200
2022-03-07,4.720000,4.860000,4.500000,4.690000,4.690000,450900
2022-03-08,4.570000,4.950000,4.510000,4.950000,4.950000,537100
2022-03-09,4.800000,5.430000,4.680000,5.080000,5.080000,343900
2022-03-10,4.900000,5.290000,4.900000,5.020000,5.020000,229700
2022-03-11,4.990000,5.300000,4.960000,4.990000,4.990000,247900
2022-03-14,5.100000,5.150000,4.420000,4.800000,4.800000,462700
2022-03-15,4.640000,5.240000,4.560000,5.130000,5.130000,453600
2022-03-16,5.190000,5.220000,4.890000,4.960000,4.960000,305500
2022-03-17,4.950000,5.110000,4.940000,5.030000,5.030000,230600
2022-03-18,4.950000,5.100000,4.950000,5.000000,5.000000,275800
2022-03-21,5.000000,5.230000,4.960000,5.110000,5.110000,310900
2022-03-22,5.200000,5.250000,5.030000,5.230000,5.230000,249200
2022-03-23,5.240000,5.340000,5.230000,5.260000,5.260000,165700
2022-03-24,5.250000,5.600000,5.160000,5.550000,5.550000,360700
2022-03-25,5.800000,5.800000,5.500000,5.550000,5.550000,404200
2022-03-28,5.640000,5.690000,5.030000,5.430000,5.430000,283500
2022-03-29,5.440000,5.480000,5.250000,5.400000,5.400000,178300
2022-03-30,5.340000,5.450000,5.210000,5.340000,5.340000,161600
2022-03-31,5.300000,5.450000,5.260000,5.420000,5.420000,165600
2022-04-01,5.440000,5.510000,5.320000,5.420000,5.420000,170200
2022-04-04,5.430000,5.610000,5.320000,5.500000,5.500000,354500
2022-04-05,5.650000,5.690000,5.250000,5.480000,5.480000,358900
2022-04-06,5.380000,5.420000,5.230000,5.300000,5.300000,218700
2022-04-07,5.290000,5.290000,5.000000,5.090000,5.090000,311100
2022-04-08,5.090000,5.090000,4.860000,4.950000,4.950000,305800
2022-04-11,4.960000,5.060000,4.910000,4.960000,4.960000,202700
2022-04-12,4.920000,5.230000,4.920000,5.010000,5.010000,244700
2022-04-13,5.010000,5.100000,4.970000,5.010000,5.010000,147900
2022-04-14,4.900000,5.070000,4.860000,4.860000,4.860000,193900
2022-04-18,4.860000,4.920000,4.530000,4.580000,4.580000,448200
2022-04-19,4.530000,4.750000,4.310000,4.590000,4.590000,269900
2022-04-20,4.560000,4.820000,4.500000,4.590000,4.590000,166300
2022-04-21,4.600000,4.750000,4.210000,4.220000,4.220000,462400
2022-04-22,4.230000,4.470000,4.120000,4.290000,4.290000,351900
2022-04-25,4.250000,4.400000,4.180000,4.290000,4.290000,245500
2022-04-26,4.280000,4.300000,4.020000,4.090000,4.090000,309500
2022-04-27,4.160000,4.400000,4.100000,4.100000,4.100000,428700
2022-04-28,4.050000,4.200000,3.980000,4.200000,4.200000,525800
2022-04-29,4.410000,4.420000,4.150000,4.420000,4.420000,429500
2022-05-02,4.470000,4.750000,3.970000,4.090000,4.090000,940500
2022-05-03,4.060000,4.100000,3.800000,3.920000,3.920000,510600
2022-05-04,3.870000,4.100000,3.860000,4.100000,4.100000,215500
2022-05-05,4.150000,5.870000,3.880000,5.360000,5.360000,1570600
2022-05-06,6.240000,6.650000,5.370000,5.780000,5.780000,3887700
2022-05-09,5.800000,5.980000,5.250000,5.350000,5.350000,1069000
2022-05-10,5.400000,5.400000,4.900000,5.080000,5.080000,790400
2022-05-11,5.050000,5.390000,4.460000,4.610000,4.610000,831900
2022-05-12,4.470000,4.490000,4.090000,4.110000,4.110000,933500
2022-05-13,4.150000,4.480000,4.150000,4.400000,4.400000,540300
2022-05-16,4.690000,4.690000,4.410000,4.430000,4.430000,307700
2022-05-17,4.540000,4.610000,4.430000,4.480000,4.480000,289700
2022-05-18,4.480000,4.550000,4.260000,4.500000,4.500000,191800
2022-05-19,4.440000,4.520000,4.290000,4.430000,4.430000,234100
2022-05-20,4.500000,4.500000,4.400000,4.420000,4.420000,199200
2022-05-23,4.390000,4.390000,4.310000,4.320000,4.320000,187800
2022-05-24,4.330000,4.350000,4.150000,4.200000,4.200000,283700
2022-05-25,4.200000,4.340000,4.160000,4.210000,4.210000,264800
2022-05-26,4.300000,4.400000,4.200000,4.310000,4.310000,193900
2022-05-27,4.360000,4.600000,4.320000,4.450000,4.450000,234800
2022-05-31,4.470000,4.510000,4.410000,4.480000,4.480000,118000
2022-06-01,4.400000,4.520000,4.300000,4.300000,4.300000,109900
2022-06-02,4.300000,4.450000,4.300000,4.430000,4.430000,147400
2022-06-03,4.430000,4.750000,4.360000,4.610000,4.610000,323100
2022-06-06,4.610000,4.690000,4.400000,4.400000,4.400000,155700
2022-06-07,4.400000,4.730000,4.400000,4.400000,4.400000,130400
2022-06-08,4.400000,4.480000,4.390000,4.450000,4.450000,159700
2022-06-09,4.400000,4.450000,4.250000,4.330000,4.330000,187900
2022-06-10,4.330000,4.330000,4.110000,4.220000,4.220000,368900
2022-06-13,4.110000,4.200000,3.900000,3.900000,3.900000,452800
2022-06-14,3.900000,4.000000,3.680000,3.710000,3.710000,504900
2022-06-15,3.800000,3.890000,3.710000,3.870000,3.870000,234100
2022-06-16,3.810000,3.820000,3.510000,3.600000,3.600000,420400
2022-06-17,3.570000,3.830000,3.490000,3.520000,3.520000,473500
2022-06-21,3.990000,3.990000,3.530000,3.650000,3.650000,509200
2022-06-22,3.650000,3.750000,3.500000,3.520000,3.520000,321400
2022-06-23,3.590000,3.590000,3.450000,3.550000,3.550000,360900
2022-06-24,3.600000,3.700000,3.500000,3.540000,3.540000,243600
2022-06-27,3.580000,3.600000,3.480000,3.480000,3.480000,284800
2022-06-28,3.420000,3.550000,3.410000,3.410000,3.410000,165700
2022-06-29,3.410000,3.480000,3.030000,3.110000,3.110000,631700
2022-06-30,3.100000,3.200000,2.580000,3.200000,3.200000,1166800
2022-07-01,3.230000,3.690000,3.210000,3.290000,3.290000,407900
2022-07-05,3.440000,3.620000,3.160000,3.590000,3.590000,331500
2022-07-06,3.500000,3.920000,3.490000,3.660000,3.660000,271800
2022-07-07,3.650000,4.220000,3.650000,4.160000,4.160000,264100
2022-07-08,4.090000,4.390000,3.970000,4.200000,4.200000,222800
2022-07-11,4.150000,4.670000,4.100000,4.650000,4.650000,431500
2022-07-12,4.660000,4.870000,4.490000,4.850000,4.850000,330800
2022-07-13,4.870000,4.890000,2.750000,3.350000,3.350000,2830900
2022-07-14,3.190000,3.490000,2.930000,3.290000,3.290000,1469700
2022-07-15,3.490000,3.500000,3.250000,3.300000,3.300000,404800
2022-07-18,3.280000,3.280000,3.100000,3.130000,3.130000,600200
2022-07-19,3.110000,3.140000,3.090000,3.140000,3.140000,280900
2022-07-20,3.190000,3.350000,3.180000,3.280000,3.280000,213100
2022-07-21,3.360000,3.420000,3.280000,3.330000,3.330000,126700
2022-07-22,3.410000,3.470000,3.260000,3.300000,3.300000,176300
2022-07-25,3.290000,3.310000,3.250000,3.270000,3.270000,110700
2022-07-26,3.280000,3.330000,3.150000,3.200000,3.200000,226100
2022-07-27,3.190000,3.190000,2.980000,3.010000,3.010000,582000
2022-07-28,3.040000,3.300000,3.020000,3.250000,3.250000,200500
2022-07-29,3.260000,3.450000,3.230000,3.360000,3.360000,304600
2022-08-01,3.350000,3.500000,3.180000,3.200000,3.200000,323500
2022-08-02,3.390000,3.840000,3.250000,3.380000,3.380000,510600
2022-08-03,3.330000,3.550000,3.210000,3.440000,3.440000,222900
2022-08-04,3.440000,3.490000,3.350000,3.450000,3.450000,199600
2022-08-05,3.400000,3.460000,3.240000,3.420000,3.420000,105300
2022-08-08,3.370000,3.400000,3.230000,3.250000,3.250000,251000
2022-08-09,3.250000,3.300000,3.100000,3.140000,3.140000,241800
2022-08-10,3.090000,3.290000,3.030000,3.140000,3.140000,166800
2022-08-11,3.110000,3.180000,3.050000,3.150000,3.150000,177100
2022-08-12,3.170000,3.170000,3.050000,3.090000,3.090000,206100
2022-08-15,3.060000,3.170000,3.010000,3.050000,3.050000,231600
2022-08-16,3.050000,3.100000,2.990000,3.040000,3.040000,536100
2022-08-17,3.010000,3.030000,2.960000,3.020000,3.020000,231600
2022-08-18,2.980000,3.080000,2.970000,3.000000,3.000000,161500
2022-08-19,3.000000,3.060000,2.980000,3.000000,3.000000,192500
2022-08-22,3.020000,3.090000,2.990000,3.030000,3.030000,292700
2022-08-23,3.000000,3.080000,3.000000,3.010000,3.010000,203500
2022-08-24,3.000000,3.030000,3.000000,3.030000,3.030000,87600
2022-08-25,3.050000,3.290000,2.960000,3.190000,3.190000,388500
2022-08-26,3.170000,3.260000,3.060000,3.110000,3.110000,225500
2022-08-29,3.110000,3.150000,2.960000,3.000000,3.000000,318100
2022-08-30,3.000000,3.070000,2.970000,3.040000,3.040000,138800
2022-08-31,3.050000,3.070000,2.960000,2.990000,2.990000,205900
2022-09-01,3.000000,3.010000,2.800000,2.850000,2.850000,419900
2022-09-02,2.850000,2.960000,2.830000,2.940000,2.940000,136500
2022-09-06,2.910000,2.940000,2.830000,2.840000,2.840000,183900
2022-09-07,2.800000,2.850000,2.760000,2.780000,2.780000,388700
2022-09-08,2.750000,2.790000,2.730000,2.770000,2.770000,290900
